품종,등급,최고가,최저가,평균단가,날짜
미안마,P박스,23600.0,12200.0,19229.0,2016년 02월 06일
부사,P박스,58500.0,29100.0,46931.0,2016년 02월 06일
부사,P박스,78600.0,33700.0,56136.0,2016년 02월 06일
부사,P박스,52900.0,31900.0,43203.0,2016년 02월 06일
부사,P박스,47900.0,29300.0,40528.0,2016년 02월 06일
부사,P박스,30500.0,19000.0,28243.0,2016년 02월 06일
부사,P박스,37700.0,14400.0,28362.0,2016년 02월 06일
부사,P박스,20600.0,9900.0,15485.0,2016년 02월 06일
부사,P박스,40000.0,24000.0,36231.0,2016년 02월 06일
미안마,P박스,61500.0,43600.0,54665.0,2016년 02월 06일
미안마,P박스,70000.0,70000.0,70000.0,2016년 02월 06일
미안마,P박스,31100.0,30500.0,30650.0,2016년 02월 06일
미안마,P박스,41700.0,20500.0,33872.0,2016년 02월 06일
미안마,P박스,49500.0,45000.0,47698.0,2016년 02월 06일
미안마,P박스,56900.0,48200.0,51222.0,2016년 02월 06일
미안마,P박스,46900.0,38900.0,42985.0,2016년 02월 06일
미안마,P박스,40000.0,33600.0,37878.0,2016년 02월 06일
미안마,P박스,147000.0,147000.0,147000.0,2016년 06월 16일
미안마,P박스,84200.0,60500.0,74047.0,2016년 06월 16일
미안마,P박스,79600.0,58000.0,68583.0,2016년 06월 16일
부사,P박스,48200.0,13500.0,35168.0,2016년 06월 16일
미안마,P박스,45500.0,36900.0,42650.0,2016년 06월 16일
부사,P박스,64900.0,28900.0,56900.0,2016년 06월 16일
부사,P박스,30100.0,9500.0,16026.0,2016년 06월 16일
미안마,P박스,66200.0,53600.0,61123.0,2016년 06월 16일
미안마,P박스,52000.0,41500.0,45309.0,2016년 06월 16일
미안마,P박스,28700.0,9500.0,16532.0,2016년 06월 16일
부사,P박스,76000.0,29000.0,66265.0,2016년 06월 16일
부사,P박스,46000.0,22500.0,35849.0,2016년 06월 16일
미안마,P박스,56200.0,17800.0,40373.0,2016년 06월 16일
부사,P박스,65900.0,28900.0,57721.0,2016년 06월 16일
부사,P박스,133000.0,121000.0,130000.0,2016년 06월 16일
미안마,P박스,77000.0,58900.0,67712.0,2016년 06월 16일
부사,P박스,60000.0,26600.0,45119.0,2016년 06월 16일
부사,P박스,43000.0,21000.0,29630.0,2016년 06월 16일
부사,P박스,56000.0,40000.0,50714.0,2016년 06월 17일
부사,P박스,,,,2016년 06월 17일
미안마,P박스,,,,2016년 06월 17일
부사,P박스,55000.0,48900.0,49771.0,2016년 06월 17일
부사,P박스,14500.0,8200.0,11075.0,2016년 06월 17일
부사,P박스,40500.0,34000.0,37744.0,2016년 06월 17일
부사,P박스,34600.0,28000.0,30933.0,2016년 06월 17일
부사,P박스,35000.0,17900.0,27783.0,2016년 06월 17일
부사,P박스,54000.0,39100.0,51763.0,2016년 06월 17일
부사,P박스,46900.0,38900.0,45488.0,2016년 06월 17일
미안마,P박스,103000.0,66900.0,78971.0,2016년 06월 19일
부사,P박스,48900.0,12600.0,37487.0,2016년 06월 19일
부사,P박스,72900.0,53000.0,64319.0,2016년 06월 19일
부사,P박스,69500.0,48000.0,60928.0,2016년 06월 19일
부사,P박스,68900.0,46900.0,59546.0,2016년 06월 19일
부사,P박스,65900.0,41100.0,51598.0,2016년 06월 19일
부사,P박스,27500.0,9500.0,17792.0,2016년 06월 19일
미안마,P박스,53000.0,14900.0,46342.0,2016년 06월 19일
부사,P박스,49800.0,25000.0,42907.0,2016년 06월 19일
미안마,P박스,84600.0,16600.0,70514.0,2016년 06월 19일
미안마,P박스,75900.0,16900.0,65333.0,2016년 06월 19일
미안마,P박스,58600.0,12900.0,35141.0,2016년 06월 19일
부사,P박스,85000.0,58100.0,74536.0,2016년 06월 19일
미안마,P박스,26900.0,9500.0,17067.0,2016년 06월 19일
미안마,P박스,148000.0,128500.0,132600.0,2016년 06월 19일
미안마,P박스,44000.0,41000.0,42200.0,2016년 06월 19일
부사,P박스,135000.0,103900.0,117725.0,2016년 06월 19일
미안마,P박스,66900.0,16900.0,57989.0,2016년 06월 19일
부사,P박스,29000.0,12300.0,17984.0,2017년 01월 04일
부사,P박스,43000.0,15500.0,30889.0,2017년 01월 04일
부사,P박스,66900.0,15800.0,40342.0,2017년 01월 04일
미안마,P박스,26600.0,6100.0,11241.0,2017년 01월 04일
부사,P박스,86900.0,27800.0,59568.0,2017년 01월 04일
부사,P박스,25500.0,6000.0,11047.0,2017년 01월 04일
부사,P박스,61000.0,14500.0,36059.0,2017년 01월 04일
부사,P박스,73300.0,22000.0,50321.0,2017년 01월 04일
부사,P박스,114400.0,48900.0,78439.0,2017년 01월 04일
미안마,P박스,64300.0,21200.0,44575.0,2017년 01월 04일
미안마,P박스,45900.0,12300.0,33506.0,2017년 01월 04일
미안마,P박스,120000.0,44100.0,95368.0,2017년 01월 04일
미안마,P박스,48900.0,7700.0,28073.0,2017년 01월 04일
미안마,P박스,29000.0,12300.0,21743.0,2017년 01월 04일
미안마,P박스,95000.0,29900.0,66453.0,2017년 01월 04일
미안마,P박스,58900.0,19000.0,39539.0,2017년 01월 04일
부사,P박스,48800.0,8100.0,25479.0,2017년 01월 04일
미안마,P박스,75900.0,25600.0,55265.0,2017년 01월 04일
미안마,P박스,54600.0,21200.0,40334.0,2017년 01월 05일
미안마,P박스,45500.0,11000.0,28947.0,2017년 01월 05일
미안마,P박스,45600.0,14500.0,34364.0,2017년 01월 05일
미안마,P박스,35000.0,12300.0,22774.0,2017년 01월 05일
미안마,P박스,65900.0,23200.0,45503.0,2017년 01월 05일
부사,P박스,136000.0,53900.0,96386.0,2017년 01월 05일
부사,P박스,98600.0,29000.0,65389.0,2017년 01월 05일
부사,P박스,79600.0,20200.0,51060.0,2017년 01월 05일
미안마,P박스,21000.0,5600.0,11552.0,2017년 01월 05일
부사,P박스,27000.0,12300.0,18813.0,2017년 01월 05일
부사,P박스,41000.0,13200.0,27764.0,2017년 01월 05일
부사,P박스,68900.0,19800.0,41060.0,2017년 01월 05일
부사,P박스,48800.0,7200.0,23386.0,2017년 01월 05일
부사,P박스,25000.0,5500.0,10727.0,2017년 01월 05일
미안마,P박스,130300.0,68900.0,104991.0,2017년 01월 05일
미안마,P박스,86900.0,41600.0,66482.0,2017년 01월 05일
미안마,P박스,75000.0,27700.0,54425.0,2017년 01월 05일
부사,P박스,56900.0,17800.0,34038.0,2017년 01월 05일
부사,P박스,96800.0,26700.0,63677.0,2017년 01월 06일
부사,P박스,74900.0,17900.0,48377.0,2017년 01월 06일
